anyo;cut_region;region;cut_provincia;provincia;cut_comuna_anyocenso;cut_comuna;comuna;cut_distrito;distrito;censo_viviendas_totales;censo_viviendas_ocupadas;censo_viviendas_desocupadas;censo_viviendas_urbanas;censo_viviendas_rurales;censo_viviendas_tipo_casa;censo_viviendas_tipo_departamento;censo_viviendas_tipo_otros;censo_viviendas_agua_por_red_publica;censo_viviendas_agua_por_pozo_o_noria;censo_viviendas_agua_por_camion;censo_viviendas_agua_por_rio;censo_viviendas_agua_por_otro;censo_viviendas_agua_no_se_puede_determinar;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado;censo_viviendas_tratamiento_aguas_por_pozo_fosa_septica;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado_o_fosa_septica;censo_viviendas_tratamiento_aguas_por_pozo_negro;censo_viviendas_tratamiento_aguas_por_otro;censo_viviendas_tratamiento_aguas_no_tiene;censo_viviendas_tratamiento_aguas_no_se_puede_determinar;censo_viviendas_electricidad_por_red_publica;censo_viviendas_electricidad_por_generador;censo_viviendas_electricidad_por_ernc;censo_viviendas_electricidad_por_otro;censo_viviendas_electricidad_no_tiene;censo_viviendas_electricidad_no_se_puede_determinar;censo_total_poblacion;num_distrito
1982;15;De Arica y Parinacota;152;Parinacota;205;15201;Putre;152013;;92;55;37;0;92;7;0;85;10;3;;34;0.0;45.0;;;1.0;12.0;1.0;;;20.0;;;;27.0;45.0;181;3
1982;15;De Arica y Parinacota;152;Parinacota;205;15201;Putre;152014;;129;87;42;0;129;25;0;104;0;0;;15;60.0;54.0;;;1.0;7.0;7.0;;;33.0;;;;42.0;54.0;235;4
1982;15;De Arica y Parinacota;152;Parinacota;205;15201;Putre;152015;;235;128;107;0;235;171;0;64;49;2;;72;0.0;112.0;;;3.0;72.0;0.0;;;83.0;;;;40.0;112.0;369;5
1982;15;De Arica y Parinacota;152;Parinacota;205;15201;Putre;152016;;197;156;41;0;197;14;0;183;0;8;;44;0.0;145.0;;;1.0;16.0;2.0;;;9.0;;;;43.0;145.0;148;6
1982;15;De Arica y Parinacota;152;Parinacota;205;15201;Putre;152017;;144;80;64;0;144;112;0;32;0;0;;77;0.0;67.0;;;6.0;43.0;3.0;;;39.0;;;;38.0;67.0;263;7
1982;15;De Arica y Parinacota;152;Parinacota;205;15201;Putre;152018;;12;5;7;0;12;3;0;9;0;0;;4;0.0;8.0;;;;;;;;0.0;;;;4.0;8.0;16;8
1982;15;De Arica y Parinacota;152;Parinacota;205;15201;Putre;152019;;8;4;4;0;8;0;0;8;0;0;;3;0.0;5.0;;;;;;;;0.0;;;;3.0;5.0;9;9
1982;15;De Arica y Parinacota;152;Parinacota;206;15202;General Lagos;152021;;162;106;56;0;162;31;0;131;0;67;;26;3.0;66.0;;;3.0;15.0;0.0;;;14.0;;;;82.0;66.0;387;1
1982;15;De Arica y Parinacota;152;Parinacota;206;15202;General Lagos;152022;;124;95;29;0;124;6;0;118;0;14;;76;0.0;34.0;;;0.0;3.0;0.0;;;0.0;;;;90.0;34.0;359;2
1982;15;De Arica y Parinacota;152;Parinacota;206;15202;General Lagos;152023;;107;65;42;0;107;10;0;97;22;5;;18;4.0;58.0;;;4.0;26.0;0.0;;;1.0;;;;48.0;58.0;273;3
